date,total_revenue,total_units,num_transactions
2009-12-01,686654.16,400153,1512
2010-01-01,557319.062,370921,1011
2010-02-01,506371.066,372761,1104
2010-03-01,699608.991,503466,1524
2010-04-01,594609.192,352025,1329
2010-05-01,599985.79,386297,1377
2010-06-01,639066.58,391674,1497
2010-07-01,591636.74,325655,1381
2010-08-01,604242.65,453581,1293
2010-09-01,831615.001,568612,1689
2010-10-01,1036680.0,598523,2133
2010-11-01,1172336.042,656318,2587
2010-12-01,884591.89,470633,1400
2011-01-01,569445.04,349098,987
2011-02-01,447137.35,265622,997
2011-03-01,595500.76,348503,1321
2011-04-01,469200.361,292222,1149
2011-05-01,678594.56,373601,1555
2011-06-01,661213.69,363699,1393
2011-07-01,600091.011,369420,1331
2011-08-01,645343.9,398121,1280
2011-09-01,952838.382,544897,1755
2011-10-01,1039318.79,593900,1929
2011-11-01,1161817.3800000001,669051,2657
2011-12-01,518210.79,287414,778
