date,grocery_delivery,meal_kit,food_inflation,canned_goods
2008-12-01,77.0,0.0,0.0,50.0
2009-01-01,75.0,0.0,0.0,48.75
2009-02-01,60.75,0.0,0.0,57.0
2009-03-01,55.8,0.0,0.0,55.2
2009-04-01,53.0,0.0,0.0,42.0
2009-05-01,54.0,0.0,0.0,31.0
2009-06-01,50.0,0.0,0.0,52.5
2009-07-01,55.75,0.0,0.0,46.25
2009-08-01,60.6,0.0,0.0,42.8
2009-09-01,52.75,0.0,0.0,57.25
2009-10-01,60.0,0.0,0.0,58.75
2009-11-01,57.4,0.0,0.0,80.4
2009-12-01,55.5,0.0,0.0,58.0
2010-01-01,64.8,0.0,0.0,62.2
2010-02-01,62.25,0.0,0.0,52.0
2010-03-01,54.75,0.0,0.0,33.5
2010-04-01,44.75,0.0,4.5,34.25
2010-05-01,47.2,0.0,8.6,42.8
2010-06-01,49.75,25.0,0.0,42.75
2010-07-01,49.0,0.0,3.25,42.0
2010-08-01,56.8,0.0,6.4,45.4
2010-09-01,49.25,0.0,3.0,46.0
2010-10-01,46.2,0.0,7.4,56.0
2010-11-01,49.5,0.0,52.75,85.0
2010-12-01,57.25,20.0,7.5,39.25
2011-01-01,83.4,0.0,33.2,65.6
2011-02-01,68.5,0.0,35.0,58.25
2011-03-01,58.25,0.0,23.0,65.0
2011-04-01,64.0,0.0,34.75,52.0
2011-05-01,54.8,28.0,19.4,49.0
2011-06-01,55.75,22.25,10.75,44.25
2011-07-01,61.2,0.0,4.6,54.8
2011-08-01,59.25,0.0,13.0,56.75
2011-09-01,56.25,0.0,13.25,60.75
2011-10-01,54.0,13.8,11.0,65.0
2011-11-01,60.0,14.5,14.25,87.75
2011-12-01,58.75,0.0,8.5,58.25
